district_id,year,export_crop_area_pct,subsistence_area_pct,avg_holding_size_ha,export_volume_ratio,commercialization_score
15,2017,8.79,91.21,1.32,2.51,12.17
15,2018,13.05,86.95,1.33,3.78,14.36
15,2019,15.38,84.62,1.35,3.94,15.44
15,2020,11.4,88.6,1.37,2.13,13.4
15,2021,10.08,89.92,1.38,2.51,13.08
15,2022,13.01,86.99,1.4,3.36,14.6
15,2023,13.37,86.63,1.41,3.53,14.9
15,2024,16.75,83.25,1.43,3.4,16.31
16,2014,16.35,83.65,1.22,5.13,15.41
16,2015,15.96,84.04,1.24,4.09,15.04
16,2016,13.84,86.16,1.25,3.83,14.21
16,2017,13.5,86.5,1.27,2.33,13.71
16,2018,9.8,90.2,1.28,2.27,12.31
16,2019,14.28,85.72,1.3,4.8,14.95
16,2020,15.8,84.2,1.32,4.89,15.68
16,2021,10.6,89.4,1.33,4.11,13.46
16,2022,9.83,90.17,1.35,1.87,12.57
16,2023,14.12,85.88,1.36,5.2,15.38
16,2024,17.2,82.8,1.38,3.86,16.31
17,2014,18.84,81.16,1.32,4.11,16.67
17,2015,12.57,87.43,1.33,3.65,14.12
17,2016,15.77,84.23,1.35,4.23,15.67
17,2017,12.99,87.01,1.37,2.41,14.12
17,2018,10.96,89.04,1.38,2.1,13.31
17,2019,10.65,89.35,1.4,3.28,13.64
17,2020,12.76,87.24,1.42,2.68,14.41
17,2021,14.1,85.9,1.43,4.73,15.66
17,2022,15.68,84.32,1.45,3.35,15.98
17,2023,9.51,90.49,1.47,2.86,13.47
17,2024,16.87,83.13,1.48,3.68,16.76
18,2014,15.28,84.72,1.24,5.7,15.27
18,2015,13.66,86.34,1.26,3.77,14.14
18,2016,10.17,89.83,1.27,2.52,12.46
18,2017,7.93,92.07,1.29,1.8,11.44
18,2018,14.44,85.56,1.3,5.71,15.31
18,2019,15.86,84.14,1.32,2.95,15.15
18,2020,12.83,87.17,1.34,3.54,14.21
18,2021,8.33,91.67,1.35,2.28,12.12
18,2022,16.02,83.98,1.37,6.05,16.43
18,2023,14.64,85.36,1.38,3.64,15.25
18,2024,11.21,88.79,1.4,3.39,13.9
19,2014,15.56,84.44,1.3,5.36,15.62
19,2015,14.02,85.98,1.31,4.02,14.7
19,2016,17.16,82.84,1.33,4.59,16.22
19,2017,14.31,85.69,1.35,3.68,14.91
19,2018,19.51,80.49,1.36,5.3,17.57
19,2019,15.35,84.65,1.38,4.46,15.76
19,2020,15.27,84.73,1.4,3.42,15.51
19,2021,11.81,88.19,1.41,3.85,14.36
19,2022,15.88,84.12,1.43,3.62,16.02
19,2023,13.93,86.07,1.45,4.46,15.59
19,2024,18.14,81.86,1.46,6.46,17.97
20,2014,16.75,83.25,1.33,6.96,16.8
20,2015,15.85,84.15,1.35,5.11,15.98
20,2016,14.55,85.45,1.37,2.94,14.92
20,2017,13.29,86.71,1.39,3.93,14.81
20,2018,19.03,80.97,1.4,4.21,17.29
20,2019,14.69,85.31,1.42,4.35,15.7
20,2020,8.94,91.06,1.44,3.23,13.17
20,2021,15.84,84.16,1.45,5.92,16.84
20,2022,15.07,84.93,1.47,2.37,15.56
20,2023,13.96,86.04,1.49,3.72,15.63
20,2024,12.7,87.3,1.51,3.97,15.3
21,2014,14.98,85.02,1.28,5.17,15.21
21,2015,15.26,84.74,1.29,3.03,14.78
21,2016,12.11,87.89,1.31,2.5,13.46
21,2017,18.43,81.57,1.33,4.7,16.75
21,2018,11.89,88.11,1.34,2.82,13.66
21,2019,16.2,83.8,1.36,5.68,16.34
21,2020,16.97,83.03,1.38,4.68,16.45
21,2021,16.84,83.16,1.39,3.5,16.14
21,2022,15.83,84.17,1.41,3.87,15.95
21,2023,13.99,86.01,1.43,4.52,15.5
21,2024,13.46,86.54,1.44,3.28,15.02
22,2014,16.4,83.6,1.36,5.08,16.26
22,2015,16.54,83.46,1.38,6.57,16.87
22,2016,19.83,80.17,1.4,6.34,18.22
22,2017,14.03,85.97,1.42,3.93,15.28
22,2018,15.94,84.06,1.43,3.63,16.06
22,2019,12.64,87.36,1.45,2.87,14.62
22,2020,15.58,84.42,1.47,6.04,16.85
22,2021,15.09,84.91,1.48,3.83,16.09
22,2022,16.34,83.66,1.5,5.38,17.17
22,2023,15.42,84.58,1.52,4.06,16.5
22,2024,15.39,84.61,1.54,4.02,16.58
23,2014,20.6,79.4,0.61,7.09,14.03
23,2015,15.02,84.98,0.62,4.21,10.99
23,2016,12.17,87.83,0.63,4.29,9.91
23,2017,13.17,86.83,0.63,3.68,10.18
23,2018,14.93,85.07,0.64,5.44,11.45
23,2019,17.51,82.49,0.65,4.51,12.26
23,2020,15.19,84.81,0.66,4.34,11.33
23,2021,14.85,85.15,0.67,2.8,10.77
23,2022,15.34,84.66,0.67,3.94,11.36
23,2023,17.16,82.84,0.68,4.29,12.24
23,2024,10.39,89.61,0.69,3.92,9.47
24,2014,15.72,84.28,0.55,4.32,10.85
24,2015,11.53,88.47,0.55,2.31,8.62
24,2016,13.49,86.51,0.56,4.3,10.04
24,2017,14.84,85.16,0.57,4.44,10.66
24,2018,12.51,87.49,0.57,3.22,9.41
24,2019,15.96,84.04,0.58,3.45,10.9
24,2020,12.54,87.46,0.59,4.55,9.9
24,2021,16.73,83.27,0.59,5.08,11.78
24,2022,18.68,81.32,0.6,5.38,12.69
24,2023,11.55,88.45,0.61,2.33,8.97
24,2024,10.84,89.16,0.61,3.19,8.98
25,2014,20.75,79.25,0.49,4.73,12.65
25,2015,18.83,81.17,0.5,3.94,11.68
25,2016,17.13,82.87,0.5,4.93,11.34
25,2017,14.89,85.11,0.51,4.84,10.45
25,2018,12.45,87.55,0.51,2.43,8.79
25,2019,14.04,85.96,0.52,3.12,9.67
25,2020,13.22,86.78,0.53,2.55,9.21
25,2021,14.84,85.16,0.53,2.69,9.94
25,2022,15.76,84.24,0.54,3.53,10.6
25,2023,12.41,87.59,0.54,2.92,9.11
25,2024,12.27,87.73,0.55,3.29,9.2
26,2014,14.58,85.42,0.68,4.02,11.1
26,2015,12.67,87.33,0.69,4.17,10.43
26,2016,13.68,86.32,0.69,3.9,10.8
26,2017,10.6,89.4,0.7,2.53,9.22
26,2018,16.33,83.67,0.71,7.04,12.91
26,2019,17.97,82.03,0.72,4.08,12.73
26,2020,11.04,88.96,0.73,3.08,9.71
26,2021,6.57,93.43,0.74,1.32,7.45
26,2022,17.98,82.02,0.75,4.63,13.06
26,2023,14.2,85.8,0.75,3.72,11.32
26,2024,13.97,86.03,0.76,2.88,11.03
27,2014,15.06,84.94,0.73,3.46,11.46
27,2015,21.43,78.57,0.74,5.46,14.67
27,2016,17.97,82.03,0.75,5.66,13.4
27,2017,10.01,89.99,0.76,2.91,9.44
27,2018,15.24,84.76,0.77,3.56,11.79
27,2019,12.91,87.09,0.78,2.2,10.5
27,2020,12.11,87.89,0.79,3.93,10.76
27,2021,8.64,91.36,0.8,2.06,8.87
27,2022,11.26,88.74,0.81,3.1,10.28
27,2023,16.93,83.07,0.82,4.13,12.92
27,2024,14.59,85.41,0.83,3.86,11.95
28,2014,13.94,86.06,0.14,4.55,7.78
28,2015,13.51,86.49,0.14,2.58,7.03
28,2016,10.62,89.38,0.14,2.51,5.87
28,2017,11.95,88.05,0.15,2.66,6.45
28,2018,11.33,88.67,0.15,3.34,6.42
28,2019,18.29,81.71,0.15,5.64,9.91
28,2020,12.8,87.2,0.15,4.63,7.42
28,2021,15.24,84.76,0.15,4.65,8.41
28,2022,17.46,82.54,0.16,5.98,9.71
28,2023,19.58,80.42,0.16,7.62,11.06
28,2024,11.36,88.64,0.16,2.74,6.32
29,2014,14.38,85.62,0.09,2.23,6.99
29,2015,8.63,91.37,0.1,1.82,4.57
29,2016,12.15,87.85,0.1,2.06,6.05
29,2017,12.07,87.93,0.1,3.69,6.52
29,2018,13.64,86.36,0.1,2.96,6.93
29,2019,18.06,81.94,0.1,4.82,9.27
29,2020,19.82,80.18,0.1,3.56,9.6
29,2021,15.62,84.38,0.1,5.21,8.42
29,2022,15.06,84.94,0.1,4.35,7.95
29,2023,17.11,82.89,0.1,4.37,8.78
29,2024,18.0,82.0,0.11,5.53,9.49
30,2014,16.19,83.81,0.17,4.68,8.9
30,2015,8.37,91.63,0.17,2.14,5.02
30,2016,15.08,84.92,0.17,3.64,8.16
30,2017,11.25,88.75,0.18,4.04,6.77
30,2018,18.27,81.73,0.18,4.6,9.76
30,2019,14.21,85.79,0.18,4.54,8.13
30,2020,12.22,87.78,0.18,3.1,6.91
30,2021,14.1,85.9,0.18,3.7,7.86
30,2022,12.14,87.86,0.19,3.57,7.05
30,2023,12.22,87.78,0.19,2.25,6.69
30,2024,12.09,87.91,0.19,3.66,7.08
31,2014,12.01,87.99,0.8,4.05,10.81
31,2015,18.88,81.12,0.81,3.59,13.49
31,2016,12.32,87.68,0.82,2.78,10.68
31,2017,16.49,83.51,0.83,4.76,13.0
31,2018,15.67,84.33,0.84,5.09,12.83
31,2019,16.0,84.0,0.85,4.38,12.82
31,2020,13.68,86.32,0.86,5.2,12.19
31,2021,18.89,81.11,0.87,5.03,14.29
31,2022,17.12,82.88,0.88,5.28,13.72
31,2023,13.26,86.74,0.89,4.04,11.86
31,2024,12.08,87.92,0.9,2.69,11.05
32,2014,22.18,77.82,0.66,8.12,15.26
32,2015,17.74,82.26,0.67,4.94,12.57
32,2016,15.07,84.93,0.67,2.57,10.85
32,2017,14.03,85.97,0.68,4.83,11.16
32,2018,21.03,78.97,0.69,5.78,14.29
32,2019,11.25,88.75,0.7,2.26,9.38
32,2020,15.41,84.59,0.71,4.01,11.62
32,2021,9.48,90.52,0.72,3.54,9.16
32,2022,16.31,83.69,0.73,4.64,12.27
32,2023,14.12,85.88,0.73,3.67,11.15
32,2024,14.87,85.13,0.74,3.16,11.35
33,2014,18.68,81.32,0.64,5.99,13.11
33,2015,13.4,86.6,0.65,5.01,10.75
33,2016,9.43,90.57,0.66,2.8,8.55
33,2017,11.52,88.48,0.66,4.35,9.89
33,2018,7.99,92.01,0.67,2.01,7.83
33,2019,12.51,87.49,0.68,4.22,10.35
33,2020,14.03,85.97,0.69,4.34,11.04
33,2021,17.72,82.28,0.7,4.11,12.5
33,2022,14.27,85.73,0.7,2.36,10.64
33,2023,15.17,84.83,0.71,3.62,11.43
33,2024,13.91,86.09,0.72,5.3,11.48
34,2014,16.14,83.86,0.83,3.39,12.44
34,2015,21.32,78.68,0.84,8.14,16.0
34,2016,15.11,84.89,0.85,3.77,12.27
34,2017,14.7,85.3,0.86,3.73,12.15
34,2018,13.32,86.68,0.87,2.3,11.23
34,2019,12.23,87.77,0.88,4.5,11.52
34,2020,18.98,81.02,0.89,7.14,15.08
34,2021,18.73,81.27,0.9,5.11,14.43
34,2022,16.71,83.29,0.91,4.35,13.46
34,2023,15.19,84.81,0.92,5.69,13.32
34,2024,17.95,82.05,0.93,3.28,13.76
35,2014,12.16,87.84,1.17,3.14,12.85
35,2015,15.32,84.68,1.19,3.4,14.29
35,2016,16.44,83.56,1.21,2.84,14.66
35,2017,10.45,89.55,1.22,1.73,12.02
35,2018,16.33,83.67,1.23,4.87,15.4
35,2019,13.46,86.54,1.25,3.3,13.87
35,2020,10.06,89.94,1.27,2.01,12.22
35,2021,17.38,82.62,1.28,5.24,16.2
35,2022,10.94,89.06,1.29,3.2,13.1
35,2023,10.59,89.41,1.31,2.3,12.78
35,2024,17.89,82.11,1.33,7.54,17.37
36,2014,17.13,82.87,0.75,3.76,12.49
36,2015,15.24,84.76,0.76,3.78,11.8
36,2016,16.8,83.2,0.77,5.02,12.85
36,2017,10.6,89.4,0.78,3.41,9.95
36,2018,11.84,88.16,0.79,3.03,10.38
36,2019,11.17,88.83,0.8,2.75,10.09
36,2020,12.58,87.42,0.81,3.98,11.08
36,2021,18.54,81.46,0.82,5.72,14.05
36,2022,16.86,83.14,0.83,5.5,13.37
36,2023,10.65,89.35,0.84,2.1,9.92
36,2024,12.48,87.52,0.85,5.42,11.71
37,2014,21.38,78.62,0.56,6.34,13.84
37,2015,20.28,79.72,0.57,5.31,13.13
37,2016,11.66,88.34,0.58,3.05,9.05
37,2017,16.09,83.91,0.59,4.65,11.34
37,2018,17.51,82.49,0.59,4.24,11.83
37,2019,12.45,87.55,0.6,3.11,9.52
37,2020,10.37,89.63,0.61,2.33,8.49
37,2021,16.93,83.07,0.61,3.08,11.38
37,2022,12.21,87.79,0.62,2.96,9.5
37,2023,10.66,89.34,0.63,2.33,8.74
37,2024,14.79,85.21,0.64,5.36,11.34
38,2014,21.99,78.01,0.38,7.44,13.29
38,2015,11.1,88.9,0.38,3.5,7.77
38,2016,13.78,86.22,0.39,4.08,9.05
38,2017,15.63,84.37,0.39,3.59,9.67
38,2018,17.59,82.41,0.4,4.44,10.74
38,2019,12.55,87.45,0.4,5.79,9.16
38,2020,13.82,86.18,0.4,4.84,9.41
38,2021,14.82,85.18,0.41,3.99,9.58
38,2022,13.4,86.6,0.41,3.01,8.75
38,2023,17.58,82.42,0.42,5.22,11.11
38,2024,11.52,88.48,0.42,3.6,8.23
39,2014,16.3,83.7,0.8,4.38,12.63
39,2015,12.57,87.43,0.81,2.68,10.69
39,2016,9.99,90.01,0.82,2.95,9.8
39,2017,12.17,87.83,0.83,1.99,10.44
39,2018,12.82,87.18,0.84,4.23,11.44
39,2019,17.46,82.54,0.85,6.64,14.08
39,2020,15.39,84.61,0.86,5.83,13.07
39,2021,11.22,88.78,0.87,2.64,10.5
39,2022,10.67,89.33,0.88,2.83,10.4
39,2023,13.82,86.18,0.89,3.69,11.98
39,2024,11.74,88.26,0.9,2.69,10.91
40,2014,19.98,80.02,1.03,5.61,15.88
40,2015,14.56,85.44,1.05,4.77,13.54
40,2016,11.01,88.99,1.06,4.94,12.25
40,2017,15.0,85.0,1.07,4.47,13.78
40,2018,15.96,84.04,1.09,3.98,14.1
40,2019,17.12,82.88,1.1,6.49,15.4
40,2020,18.27,81.73,1.11,4.4,15.31
40,2021,17.68,82.32,1.13,5.16,15.38
40,2022,11.92,88.08,1.14,2.18,12.26
40,2023,9.7,90.3,1.15,2.9,11.67
40,2024,15.89,84.11,1.17,4.25,14.63
41,2014,9.47,90.53,0.77,2.43,9.14
41,2015,12.3,87.7,0.78,3.06,10.52
41,2016,18.18,81.82,0.79,4.05,13.23
41,2017,16.2,83.8,0.8,4.69,12.69
41,2018,11.46,88.54,0.81,4.28,10.73
41,2019,10.84,89.16,0.82,2.06,9.87
41,2020,13.64,86.36,0.83,3.09,11.36
41,2021,18.39,81.61,0.84,5.03,13.9
41,2022,14.52,85.48,0.85,3.45,11.94
41,2023,19.59,80.41,0.86,5.69,14.7
41,2024,17.08,82.92,0.87,3.73,13.17
42,2014,14.59,85.41,0.89,3.2,12.15
42,2015,13.66,86.34,0.9,2.84,11.74
42,2016,12.66,87.34,0.92,3.78,11.69
42,2017,15.0,85.0,0.93,3.63,12.65
42,2018,12.45,87.55,0.94,3.75,11.74
42,2019,8.65,91.35,0.95,2.05,9.77
42,2020,14.75,85.25,0.96,4.24,12.94
42,2021,16.65,83.35,0.97,3.29,13.48
42,2022,16.31,83.69,0.98,3.9,13.6
42,2023,11.09,88.91,1.0,2.47,11.15
42,2024,15.01,84.99,1.01,4.55,13.41
43,2014,16.57,83.43,1.11,4.5,14.63
43,2015,16.31,83.69,1.12,4.26,14.54
43,2016,12.52,87.48,1.14,3.24,12.81
43,2017,18.17,81.83,1.15,3.89,15.34
43,2018,13.0,87.0,1.17,4.98,13.69
43,2019,12.88,87.12,1.18,2.66,13.03
43,2020,15.05,84.95,1.19,5.2,14.74
43,2021,9.27,90.73,1.21,1.85,11.51
43,2022,13.53,86.47,1.22,4.67,14.15
43,2023,18.31,81.69,1.24,5.02,16.25
43,2024,19.09,80.91,1.25,3.42,16.17
44,2014,15.27,84.73,0.86,6.29,13.18
44,2015,12.55,87.45,0.88,3.84,11.43
44,2016,13.18,86.82,0.89,3.55,11.66
44,2017,10.46,89.54,0.9,3.08,10.5
44,2018,14.78,85.22,0.91,3.64,12.46
44,2019,15.71,84.29,0.92,7.46,14.04
44,2020,17.83,82.17,0.93,4.79,14.16
44,2021,11.13,88.87,0.94,2.73,10.92
44,2022,16.29,83.71,0.95,4.19,13.49
44,2023,15.49,84.51,0.96,2.97,12.87
44,2024,13.26,86.74,0.98,3.99,12.35
45,2014,14.97,85.03,0.73,3.99,11.58
45,2015,11.86,88.14,0.74,3.08,10.12
45,2016,10.69,89.31,0.75,1.92,9.36
45,2017,8.94,91.06,0.76,1.77,8.68
45,2018,16.37,83.63,0.77,4.32,12.47
45,2019,12.82,87.18,0.78,3.63,10.89
45,2020,17.06,82.94,0.79,2.95,12.45
45,2021,13.07,86.93,0.8,3.08,10.95
45,2022,15.77,84.23,0.81,4.42,12.48
45,2023,11.85,88.15,0.82,4.58,11.02
45,2024,16.45,83.55,0.83,4.86,13.0
46,2014,14.27,85.73,0.81,3.3,11.55
46,2015,14.31,85.69,0.82,4.23,11.9
46,2016,11.02,88.98,0.83,2.18,10.04
46,2017,13.29,86.71,0.84,3.56,11.42
46,2018,11.41,88.59,0.85,2.33,10.36
46,2019,12.18,87.82,0.86,2.81,10.88
46,2020,14.68,85.32,0.87,3.2,12.05
46,2021,19.75,80.25,0.88,6.74,15.2
46,2022,11.89,88.11,0.89,4.1,11.33
46,2023,17.03,82.97,0.9,4.86,13.68
46,2024,13.83,86.17,0.91,4.32,12.3
47,2014,17.01,82.99,0.56,6.17,12.04
47,2015,15.67,84.33,0.57,4.36,11.0
47,2016,9.76,90.24,0.58,3.08,8.3
47,2017,10.75,89.25,0.59,2.95,8.7
47,2018,18.42,81.58,0.59,5.54,12.59
47,2019,16.99,83.01,0.6,5.43,12.03
47,2020,17.0,83.0,0.61,3.79,11.58
47,2021,16.9,83.1,0.61,3.02,11.35
47,2022,8.44,91.56,0.62,1.56,7.57
47,2023,12.73,87.27,0.63,3.22,9.83
47,2024,10.65,89.35,0.64,4.28,9.36
48,2014,15.34,84.66,0.52,4.0,10.44
48,2015,12.78,87.22,0.52,5.09,9.78
48,2016,15.18,84.82,0.53,2.99,10.15
48,2017,13.22,86.78,0.54,2.54,9.27
48,2018,9.5,90.5,0.54,3.25,8.04
48,2019,17.35,82.65,0.55,6.02,12.04
48,2020,17.41,82.59,0.56,3.93,11.49
48,2021,14.57,85.43,0.56,3.82,10.36
48,2022,11.6,88.4,0.57,3.08,8.98
48,2023,11.52,88.48,0.58,3.12,9.0
48,2024,12.78,87.22,0.58,2.83,9.46
49,2014,16.2,83.8,0.55,5.29,11.34
49,2015,12.71,87.29,0.55,2.27,9.08
49,2016,14.02,85.98,0.56,4.48,10.31
49,2017,16.87,83.13,0.57,3.41,11.17
49,2018,11.62,88.38,0.57,3.09,9.01
49,2019,12.01,87.99,0.58,2.57,9.05
49,2020,14.93,85.07,0.59,3.8,10.63
49,2021,19.65,80.35,0.59,4.55,12.79
49,2022,16.18,83.82,0.6,6.38,11.99
49,2023,9.6,90.4,0.61,2.32,8.18
49,2024,18.07,81.93,0.61,4.4,12.24
50,2014,16.06,83.94,0.85,4.45,12.84
50,2015,11.33,88.67,0.86,2.95,10.56
50,2016,19.7,80.3,0.87,4.88,14.55
50,2017,18.04,81.96,0.88,4.22,13.75
50,2018,16.18,83.82,0.89,2.93,12.69
50,2019,14.67,85.33,0.9,4.48,12.61
50,2020,13.59,86.41,0.91,3.15,11.84
50,2021,13.96,86.04,0.92,3.37,12.12
50,2022,15.99,84.01,0.93,4.5,13.34
50,2023,12.14,87.86,0.94,2.27,11.19
50,2024,13.66,86.34,0.95,3.12,12.13
51,2014,14.02,85.98,0.8,4.4,11.72
51,2015,14.66,85.34,0.81,3.72,11.83
51,2016,16.31,83.69,0.82,4.7,12.85
51,2017,11.6,88.4,0.83,3.64,10.71
51,2018,14.18,85.82,0.84,5.6,12.39
