id,name,province,region,latitude,longitude,population,area_sq_km
35,Rupandehi,Lumbini,Terai,27.6167,83.1167,869000,1476.00
36,Palpa,Lumbini,Hill,27.7167,83.0833,209000,1279.00
37,Bara,Madhesh,Terai,27.2500,83.9500,662000,1072.00
38,Rautahat,Madhesh,Terai,26.7667,85.9667,720000,1290.00
39,Parsa,Madhesh,Terai,27.1333,84.3500,630000,1449.00
40,Dhanusha,Madhesh,Terai,26.7289,85.9177,693000,2430.00
41,Kailali,Sudurpashchim,Terai,28.6667,80.7500,799000,3135.00
42,Kanchanpur,Sudurpashchim,Terai,28.7667,80.2667,553000,2346.00
43,Doti,Sudurpashchim,Hill,29.2000,80.8333,220000,2177.00
44,Darchula,Sudurpashchim,Mountain,29.4667,80.2833,115000,2224.00
45,Bajhang,Sudurpashchim,Hill,29.5000,81.0000,171000,1839.00
46,Bajura,Sudurpashchim,Hill,29.5500,81.1667,100000,2067.00
47,Diyalghadh,Bagmati,Hill,27.9833,85.3167,45000,405.00)
48,Humla,Karnali,Mountain,29.7000,81.6000,55000,4673.00
49,Mugu,Karnali,Mountain,29.5000,81.8333,125000,5546.00
50,Jumla,Karnali,Hill,29.2667,82.1667,121000,2274.00
51,Dolpa,Karnali,Mountain,29.3000,83.0000,37000,2831.00
52,Dolakha,Bagmati,Hill,28.1167,85.4167,173000,1834.00
53,Ramechhap,Bagmati,Hill,27.4833,85.9500,169000,2522.00
54,Sindhupalchok,Bagmati,Hill,28.0333,85.2500,238000,2955.00
55,Kavrepalanchok,Bagmati,Hill,27.8000,85.2833,591000,1860.00
56,Chitwan2,Bagmati,Terai,27.5333,84.2833,756000,1339.00
57,Shivali,Bagmati,Hill,28.1833,84.4500,196000,1889.00
58,Gorkha2,Bagmati,Hill,28.1000,84.3000,125000,2329.00
59,Nuwakot2,Bagmati,Hill,28.1667,84.8500,212000,2618.00
60,Rasuwa,Bagmati,Mountain,28.0333,85.0333,92000,1893.00
61,Kathmandu2,Bagmati,Hill,27.7172,85.3240,1236000,899.25
62,Lalitpur2,Bagmati,Hill,27.6333,85.2983,448000,385.20
63,Bhaktapur2,Bagmati,Hill,27.6519,85.3897,280000,119.36
64,Kaski2,Gandaki,Hill,28.2000,83.9667,335000,2349.00
65,Pokhara2,Gandaki,Hill,28.2000,83.9667,384000,2376.00
66,Myagdi2,Gandaki,Hill,28.6500,83.6333,155000,2258.00
67,Baglung2,Gandaki,Hill,28.2667,83.6500,240000,1898.00
68,Gorkha3,Gandaki,Hill,28.1000,84.3000,135000,1926.00
69,Lamachaur,Gandaki,Hill,28.2833,83.9833,48000,512.00)
70,Baitadi,Sudurpashchim,Hill,29.4167,80.5667,166000,2064.00
71,Kailali2,Sudurpashchim,Terai,28.6667,80.7500,751000,3135.00
72,Kanchanpur2,Sudurpashchim,Terai,28.7667,80.2667,528000,2346.00
73,Sarlahi,Madhesh,Terai,27.3667,85.4333,628000,1224.00
74,Dhanusha2,Madhesh,Terai,26.7289,85.9177,693000,2430.00
75,Maharajgunj,Madhesh,Terai,26.5833,86.2500,572000,917.00
76,Jalaripati,Bagmati,Hill,27.7500,85.2833,420000,749.00)
77,Nuwakot3,Bagmati,Hill,28.0000,85.1000,200000,2400.00
